item_id,name,main_category,subcategory,brand,tags,price,condition,average_rating,num_ratings,stock_level,release_date,description,color,size
11,Aesop Resurrection Hand Wash,Beauty,Bath & Body,Aesop,"[""Hand Soap"", ""Luxury"", ""Natural"", ""Fragrant""]",39.00,New,4.7,2354,29,2021-05-12,"Gentle botanical hand wash with mandarin rind, rosemary leaf, and cedar atlas. Cleanses without drying or stripping skin.",Amber,500mL
12,Polaroid Now Instant Camera,Electronics,Cameras,Polaroid,"[""Instant Camera"", ""Photography"", ""Retro"", ""Gift""]",99.99,New,4.3,4231,38,2022-12-15,"Point-and-shoot analog instant camera with autofocus, accurate flash, and double exposure feature.",White,Standard
13,Project Hail Mary,Books,Science Fiction,Random House,"[""Sci-Fi"", ""Adventure"", ""Bestseller"", ""Space""]",16.99,New,4.8,18723,64,2021-05-04,"A novel by Andy Weir about a lone astronaut who must save humanity from extinction. Combines science, humor, and adventure.",NA,Hardcover
14,Bose QuietComfort Earbuds II,Electronics,Audio,Bose,"[""Earbuds"", ""Wireless"", ""Noise-cancelling"", ""Premium""]",279.00,New,4.5,8763,28,2023-02-28,"Wireless earbuds with personalized noise cancellation and high-fidelity audio. Includes multiple ear tips for comfortable fit.",Triple Black,One Size
15,Lodge Cast Iron Skillet,Kitchen,Cookware,Lodge,"[""Cast Iron"", ""Skillet"", ""Durable"", ""Cooking""]",29.95,New,4.7,42187,93,2020-06-10,"Pre-seasoned 10.25-inch cast iron skillet. Excellent heat retention and versatile for stovetop, oven, and campfire cooking.",Black,10.25 inch
16,Fenty Beauty Pro Filt'r Foundation,Beauty,Makeup,Fenty Beauty,"[""Foundation"", ""Inclusive"", ""Long-wearing"", ""Matte""]",38.00,New,4.4,12546,72,2022-01-18,"Medium to full coverage foundation available in 50 shades. Soft matte finish that's sweat and humidity resistant.",290,1 fl oz
17,Allbirds Wool Runners,Footwear,Casual,Allbirds,"[""Sustainable"", ""Comfortable"", ""Casual"", ""Wool""]",98.00,New,4.6,10283,41,2022-10-05,"Comfortable everyday shoes made from ZQ-certified Merino wool. Minimizes odor, regulates temperature, and machine washable.",Natural Gray,9 US
18,Breville Barista Express,Kitchen,Appliances,Breville,"[""Espresso"", ""Coffee"", ""Premium"", ""Brewing""]",699.95,New,4.7,7856,9,2021-11-23,"Integrated coffee machine with built-in grinder, precise extraction, and micro-foam milk texturing for café-quality coffee at home.",Stainless Steel,Standard
19,Nintendo Switch OLED Model,Electronics,Gaming,Nintendo,"[""Gaming"", ""Console"", ""Portable"", ""Family""]",349.99,New,4.8,16532,25,2022-07-08,"Gaming console with 7-inch OLED screen, enhanced audio, wired LAN port, and 64GB of internal storage.",White,Standard
20,Dune (Deluxe Edition),Books,Science Fiction,Penguin,"[""Sci-Fi"", ""Classic"", ""Fantasy"", ""Epic""]",29.99,New,4.9,32456,47,2021-10-26,"Deluxe edition of Frank Herbert's masterpiece with new cover art and bonus content. Science fiction's supreme masterpiece.",NA,Hardcover
21,Dyson V15 Detect Vacuum,Home,Cleaning,Dyson,"[""Vacuum"", ""Cordless"", ""Smart"", ""Powerful""]",749.99,New,4.6,6237,13,2023-04-18,"Cordless vacuum with laser dust detection and intelligent auto-optimization of suction power and run time.",Nickel/Yellow,Standard
22,Lululemon Align Leggings,Clothing,Activewear,Lululemon,"[""Yoga"", ""Activewear"", ""Comfortable"", ""Stretchy""]",98.00,New,4.8,27845,58,2022-02-10,"Buttery-soft, weightless leggings designed for yoga and everyday comfort. Features four-way stretch and sweat-wicking material.",Black,28" Length
23,Settlers of Catan,Toys,Board Games,Catan Studio,"[""Board Game"", ""Strategy"", ""Family"", ""Popular""]",44.99,New,4.7,15862,64,2020-08-15,"Award-winning strategy board game where players collect resources and build settlements. Offers different strategies to victory.",Multi,3-4 Players
24,Yeti Rambler Tumbler,Kitchen,Drinkware,Yeti,"[""Insulated"", ""Durable"", ""Outdoor"", ""Portable""]",35.00,New,4.9,21463,86,2021-03-28,"Double-wall vacuum insulation keeps drinks hot or cold for hours. Durable stainless steel with DuraCoat color that won't fade.",Navy,30 oz
25,Canon EOS R6 Camera,Electronics,Cameras,Canon,"[""Camera"", ""Professional"", ""Photography"", ""DSLR""]",2499.00,New,4.8,2876,7,2022-05-16,"Full-frame mirrorless camera with 20MP sensor, 4K video recording, and in-body image stabilization. Includes RF mount lens compatibility.",Black,Standard
26,Herman Miller Aeron Chair,Home,Furniture,Herman Miller,"[""Office Chair"", ""Ergonomic"", ""Premium"", ""Comfortable""]",1395.00,New,4.8,4237,5,2021-09-30,"Ergonomic office chair with PostureFit SL technology and 8Z Pellicle suspension. Adjustable for personalized comfort.",Graphite,Size B
27,The North Face Denali Jacket,Clothing,Outerwear,The North Face,"[""Outdoor"", ""Fleece"", ""Durable"", ""Warm""]",179.00,New,4.7,8976,32,2022-08-22,"Iconic recycled fleece jacket with reinforced shoulders and chest. Perfect for layering in cold conditions.",Summit Navy,Large
28,Dior Sauvage Eau de Parfum,Beauty,Fragrance,Dior,"[""Fragrance"", ""Luxury"", ""Masculine"", ""Long-lasting""]",110.00,New,4.6,11243,44,2021-12-05,"Powerful masculine fragrance with notes of bergamot, pepper, and ambroxan. Bold and sophisticated scent profile.",NA,3.4 oz
29,Hydro Flask Water Bottle,Sports,Hydration,Hydro Flask,"[""Water Bottle"", ""Insulated"", ""Eco-friendly"", ""Durable""]",44.95,New,4.8,19456,78,2021-06-14,"Double-wall vacuum insulated stainless steel water bottle. Keeps beverages cold for 24 hours and hot for 12 hours.",Cobalt,32 oz
30,Oculus Quest 2 VR Headset,Electronics,Virtual Reality,Meta,"[""VR"", ""Gaming"", ""Immersive"", ""Wireless""]",299.99,New,4.7,14873,21,2022-03-12,"All-in-one virtual reality headset with touch controllers. No PC or console needed for immersive gaming and entertainment.",White,128GB
31,Clinique Moisture Surge Moisturizer,Beauty,Skincare,Clinique,"[""Moisturizer"", ""Hydrating"", ""Skincare"", ""Premium""]",42.00,New,4.6,15872,63,2021-08-03,"Oil-free gel-cream that provides 72-hour hydration. Contains aloe bio-ferment and hyaluronic acid for instant and lasting moisture.",NA,1.7 oz
32,Specialized Turbo Vado E-Bike,Sports,Cycling,Specialized,"[""E-Bike"", ""Commuting"", ""Outdoor"", ""Premium""]",3250.00,New,4.8,1283,8,2023-01-17,"Pedal-assist electric bike with integrated battery and motor. Smart control system adjusts power based on terrain and effort.",Charcoal,Medium
33,Atomic Bent Chetler Skis,Sports,Winter Sports,Atomic,"[""Skiing"", ""Winter"", ""Outdoor"", ""Freestyle""]",649.95,New,4.7,3245,15,2022-09-14,"Versatile all-mountain powder skis with HRZN Tech for improved float and playfulness in deep snow and varied conditions.",Multi,184cm
34,Animal Crossing: New Horizons,Electronics,Video Games,Nintendo,"[""Gaming"", ""Simulation"", ""Family"", ""Relaxing""]",59.99,New,4.9,37621,82,2020-03-20,"Life simulation game where players develop an island, interact with anthropomorphic animals, and create their perfect paradise.",NA,Switch
35,Samsung QN90B QLED TV,Electronics,Televisions,Samsung,"[""TV"", ""4K"", ""Smart TV"", ""Premium""]",1299.99,New,4.7,6254,17,2022-06-15,"Neo QLED 4K Smart TV with Quantum HDR, anti-reflection screen, and object tracking sound for an immersive viewing experience.",Black,55-inch
36,Instant Pot Duo Plus,Kitchen,Appliances,Instant Pot,"[""Pressure Cooker"", ""Multicooker"", ""Time-saving"", ""Versatile""]",129.95,New,4.8,42568,123,2021-04-25,"9-in-1 electric pressure cooker with functions for pressure cooking, slow cooking, rice cooking, steaming, sautéing, and more.",Stainless Steel,6-Quart
37,The Seven Husbands of Evelyn Hugo,Books,Fiction,Simon & Schuster,"[""Fiction"", ""Historical"", ""LGBT"", ""Bestseller""]",16.99,New,4.7,32651,94,2021-08-22,"Novel by Taylor Jenkins Reid about a reclusive Hollywood legend who tells her life story to an unknown reporter, revealing scandals and secrets.",NA,Paperback
38,Drunk Elephant C-Firma Vitamin C Serum,Beauty,Skincare,Drunk Elephant,"[""Serum"", ""Vitamin C"", ""Brightening"", ""Anti-aging""]",78.00,New,4.5,9784,42,2020-11-17,"Potent vitamin C day serum packed with antioxidants, essential nutrients, and fruit enzymes to brighten and improve signs of aging.",NA,1 oz
39,Bose SoundLink Revolve+ II,Electronics,Audio,Bose,"[""Bluetooth Speaker"", ""Portable"", ""360-Sound"", ""Waterproof""]",329.00,New,4.7,7854,37,2021-09-06,"Portable Bluetooth speaker with 360° sound, 17-hour battery life, and water-resistant design for indoor and outdoor use.",Triple Black,One Size
40,Fjallraven Kanken Backpack,Accessories,Bags,Fjallraven,"[""Backpack"", ""Durable"", ""Classic"", ""Eco-friendly""]",79.95,New,4.8,16542,89,2020-05-12,"Classic rectangular backpack made from durable Vinylon F material. Features spacious main compartment and comfortable straps.",Frost Green,16L
41,GreenPan Valencia Pro Cookware Set,Kitchen,Cookware,GreenPan,"[""Non-stick"", ""Cookware Set"", ""Eco-friendly"", ""Durable""]",299.99,New,4.6,5237,24,2022-02-14,"10-piece ceramic non-stick cookware set with Magneto induction base. PFAS-free coating for healthier cooking and easy cleanup.",Gray,10-Piece
42,On Cloud X Running Shoes,Footwear,Athletic,On Running,"[""Running"", ""Training"", ""Lightweight"", ""Versatile""]",139.99,New,4.7,8976,56,2022-07-21,"Lightweight performance running shoes designed for mixed-sport workouts. Features CloudTec® sole and breathable mesh upper.",Black/White,10 US
43,Philips Sonicare DiamondClean Toothbrush,Health,Oral Care,Philips,"[""Electric Toothbrush"", ""Premium"", ""Smart"", ""Oral Care""]",219.99,New,4.6,12453,38,2021-10-15,"Smart electric toothbrush with 5 brushing modes and pressure sensor. Improves gum health and whitens teeth in just one week.",White,Standard
44,Ember Temperature Control Smart Mug,Kitchen,Drinkware,Ember,"[""Smart Mug"", ""Temperature Control"", ""Tech"", ""Coffee""]",129.95,New,4.5,8721,47,2022-11-08,"App-controlled smart mug that maintains your preferred drinking temperature. Built-in battery keeps drinks hot for up to 80 minutes.",Black,10 oz
45,Klean Kanteen TKWide Insulated Bottle,Sports,Hydration,Klean Kanteen,"[""Water Bottle"", ""Insulated"", ""Sustainable"", ""Durable""]",39.95,New,4.8,7654,81,2021-03-19,"Vacuum insulated stainless steel bottle with TK Closure internal thread design. Keeps drinks hot for 14 hours or iced for 47 hours.",Deep Surf,20 oz
46,Adidas Ultraboost 22 Running Shoes,Footwear,Athletic,Adidas,"[""Running"", ""Responsive"", ""Comfortable"", ""Athletic""]",189.99,New,4.7,16249,71,2022-08-14,"High-performance running shoes with Boost midsole for energy return and Primeknit+ upper for adaptive fit and breathability.",Core Black,9.5 US
47,Fellow Stagg EKG Electric Kettle,Kitchen,Appliances,Fellow,"[""Kettle"", ""Pour-over"", ""Precision"", ""Premium""]",165.00,New,4.8,6721,29,2021-06-24,"Electric gooseneck kettle with variable temperature control, 1200W quick-heating element, and built-in brew stopwatch.",Matte Black,0.9L
48,Tom Ford Tobacco Vanille Perfume,Beauty,Fragrance,Tom Ford,"[""Fragrance"", ""Luxury"", ""Unisex"", ""Spicy""]",375.00,New,4.9,4823,18,2020-09-30,"Opulent and warm fragrance with notes of tobacco leaf, vanilla, and spices. Long-lasting and suitable for all genders.",NA,50mL
49,Smeg Retro Style Toaster,Kitchen,Appliances,Smeg,"[""Toaster"", ""Retro"", ""Design"", ""Premium""]",179.95,New,4.5,3421,25,2021-11-08,"Retro-style 2-slice toaster with 6 browning levels, reheat function, and automatic pop-up. Combines style with functionality.",Pastel Blue,2-Slice
50,Logitech MX Master 3S Mouse,Electronics,Computer Accessories,Logitech,"[""Mouse"", ""Ergonomic"", ""Wireless"", ""Productivity""]",99.99,New,4.8,9241,63,2022-05-25,"Advanced wireless mouse with ultra-fast scrolling, ergonomic design, and precise 8K DPI tracking on any surface.",Graphite,Standard
51,Parachute Linen Sheet Set,Home,Bedding,Parachute,"[""Bedding"", ""Linen"", ""Premium"", ""Sustainable""]",169.00,New,4.7,8974,34,2021-02-18,"Portuguese-made linen sheet set that's breathable, gets softer with every wash, and is perfectly suited for year-round comfort.",White,Queen
52,Roomba j7+ Robot Vacuum,Home,Cleaning,iRobot,"[""Robot Vacuum"", ""Smart Home"", ""Automated"", ""Premium""]",799.99,New,4.6,5432,22,2022-10-12,"Smart robot vacuum with obstacle avoidance, mapping technology, and automatic dirt disposal. Can be controlled via app or voice.",Black,Standard
53,Bialetti Moka Express Stovetop Espresso Maker,Kitchen,Coffee Makers,Bialetti,"[""Coffee Maker"", ""Espresso"", ""Stovetop"", ""Italian""]",34.95,New,4.8,21456,78,2020-07-05,"Iconic Italian stovetop espresso maker that produces rich, authentic espresso in minutes. Classic octagonal design.",Silver,6-Cup
54,Monstera Deliciosa Plant,Home,Plants,Costa Farms,"[""Plant"", ""Indoor"", ""Tropical"", ""Air-purifying""]",39.99,New,4.5,7823,42,2021-05-10,"Popular tropical houseplant with distinctive split leaves. Low-maintenance, air-purifying, and adds a statement to any room.",NA,10-inch pot
55,Circulon Premier Professional Hard Anodized Cookware Set,Kitchen,Cookware,Circulon,"[""Cookware Set"", ""Non-stick"", ""Durable"", ""Professional""]",299.95,New,4.7,6243,16,2021-08-25,"13-piece hard-anodized cookware set with TOTAL® Food Release System. Induction-compatible with stainless steel bases.",Chocolate Brown,13-Piece
56,Taylor Made Stealth Driver,Sports,Golf,Taylor Made,"[""Golf"", ""Driver"", ""Carbon"", ""Performance""]",579.99,New,4.8,3254,11,2022-09-08,"High-performance golf driver with 60X Carbon Twist Face for increased distance and forgiveness. Customizable weights for preferred ball flight.",Black,9.0°
57,Lululemon Metal Vent Tech Shirt,Clothing,Activewear,Lululemon,"[""Workout"", ""Running"", ""Moisture-wicking"", ""Anti-odor""]",78.00,New,4.6,5873,51,2022-03-15,"Versatile training shirt with seamless construction, anti-odor technology, and strategic ventilation to keep you cool and comfortable.",Heathered Gray,Large
58,The Hunger Games Box Set,Books,Young Adult,Scholastic,"[""YA"", ""Dystopian"", ""Bestseller"", ""Box Set""]",49.99,New,4.9,28765,67,2020-11-22,"Complete four-book collection of Suzanne Collins' bestselling series including The Hunger Games, Catching Fire, Mockingjay, and The Ballad of Songbirds and Snakes.",NA,Paperback
59,Fujifilm X-T4 Mirrorless Camera,Electronics,Cameras,Fujifilm,"[""Camera"", ""Mirrorless"", ""Photography"", ""Video""]",1699.00,New,4.8,4321,9,2022-04-10,"Flagship X Series mirrorless camera with in-body image stabilization, 26.1MP X-Trans CMOS 4 sensor, and advanced autofocus.",Silver,Body Only
60,Theragun Prime Massage Gun,Health,Recovery,Therabody,"[""Massage Gun"", ""Recovery"", ""Fitness"", ""Quiet""]",299.00,New,4.7,7654,33,2021-12-10,"Percussive therapy device that helps relieve muscle soreness and stiffness. Features QuietForce Technology and 5 built-in speeds.",Black,Standard
61,KitchenAid Artisan Stand Mixer,Kitchen,Appliances,KitchenAid,"[""Stand Mixer"", ""Baking"", ""Premium"", ""Versatile""]",429.99,New,4.9,32145,27,2020-10-18,"Iconic tilt-head stand mixer with 10 speeds and 5-quart stainless steel bowl. Includes flat beater, dough hook, and wire whip.",Empire Red,5-Quart
62,Gloomhaven Board Game,Toys,Board Games,Cephalofair Games,"[""Board Game"", ""Strategy"", ""Campaign"", ""Cooperative""]",139.99,New,4.8,14532,23,2021-07-12,"Award-winning cooperative campaign game of tactical combat set in a persistent fantasy world. Features 95 unique scenarios.",Multi,1-4 Players
63,Nespresso Vertuo Next Coffee Machine,Kitchen,Coffee Makers,Nespresso,"[""Coffee Maker"", ""Espresso"", ""Compact"", ""Premium""]",159.00,New,4.6,11243,49,2022-01-14,"Versatile coffee machine that brews both coffee and espresso using Centrifusion technology for perfect crema. Includes milk frother.",Matte Black,Standard
64,Samsung Galaxy Watch 5,Electronics,Wearables,Samsung,"[""Smartwatch"", ""Fitness Tracking"", ""Health"", ""Waterproof""]",279.99,New,4.7,8721,38,2022-08-27,"Advanced smartwatch with comprehensive health monitoring, GPS, sleep tracking, and up to 50 hours of battery life.",Graphite,40mm
65,Osprey Farpoint 40 Travel Backpack,Accessories,Bags,Osprey,"[""Backpack"", ""Travel"", ""Carry-on"", ""Durable""]",159.95,New,4.8,9843,42,2021-03-05,"Carry-on compliant travel backpack with padded laptop sleeve, stowaway harness and hipbelt, and front compression straps.",Volcanic Black,40L
66,Becoming by Michelle Obama,Books,Biography,Crown Publishing,"[""Biography"", ""Bestseller"", ""Memoir"", ""Political""]",18.99,New,4.9,58429,75,2020-04-02,"Memoir by former First Lady Michelle Obama chronicling her life journey from childhood on Chicago's South Side to the White House.",NA,Hardcover
67,Maison Margiela Replica Jazz Club Fragrance,Beauty,Fragrance,Maison Margiela,"[""Fragrance"", ""Luxury"", ""Woody"", ""Unisex""]",135.00,New,4.7,5621,31,2021-09-18,"Warm and spicy fragrance with notes of rum, tobacco leaf, and vanilla bean that recreates the atmosphere of a Brooklyn jazz club.",NA,3.4 oz
68,Sonos Beam Soundbar,Electronics,Audio,Sonos,"[""Soundbar"", ""Smart Speaker"", ""Home Theater"", ""Voice Control""]",449.00,New,4.8,10954,28,2022-06-29,"Compact smart soundbar with rich bass, voice control, and the ability to stream music, TV, movies, and more. Works with all voice assistants.",Black,Standard
69,Away The Carry-On Suitcase,Accessories,Travel,Away,"[""Luggage"", ""Carry-on"", ""Travel"", ""Durable""]",275.00,New,4.7,13254,47,2021-04-16,"Hard-shell carry-on suitcase with 360° spinner wheels, interior compression system, and removable battery for charging devices.",Coast Blue,Standard
70,Weber Genesis E-325s Gas Grill,Home,Outdoor,Weber,"[""Grill"", ""Outdoor Cooking"", ""Premium"", ""Propane""]",1029.00,New,4.8,4321,13,2022-03-11,"Three-burner gas grill with high-performance grilling system, sear zone, and side table. Features smart technology compatibility.",Black,Standard
71,Our Place Always Pan,Kitchen,Cookware,Our Place,"[""Pan"", ""Non-stick"", ""Versatile"", ""Design""]",145.00,New,4.6,15642,56,2021-10-24,"Multifunctional non-stick pan designed to replace 8 traditional pieces of cookware. Features pour spouts, steamer basket, and modular lid.",Spice,10-inch
72,Lego Star Wars Millennium Falcon,Toys,Building Sets,LEGO,"[""LEGO"", ""Star Wars"", ""Collector"", ""Building""]",169.99,New,4.9,8765,29,2022-08-03,"Detailed LEGO recreation of the iconic Millennium Falcon from Star Wars, featuring opening top panels, and 7 character minifigures.",Multi,1353 Pieces
73,Peloton Bike+,Sports,Fitness Equipment,Peloton,"[""Exercise Bike"", ""Fitness"", ""Premium"", ""Interactive""]",2495.00,New,4.8,3245,8,2021-06-22,"High-end stationary bike with rotating HD touchscreen, automatic resistance, and access to thousands of live and on-demand classes.",Black,Standard
74,Four Sigmatic Mushroom Coffee,Food,Coffee,Four Sigmatic,"[""Coffee"", ""Mushroom"", ""Organic"", ""Health""]",19.99,New,4.5,12453,84,2020-12-08,"Ground coffee blend with organic Lion's Mane and Chaga mushrooms for focus and immune support without the jitters or crash.",NA,12 oz
75,Tineco Pure One S12 Smart Vacuum,Home,Cleaning,Tineco,"[""Vacuum"", ""Cordless"", ""Smart"", ""Powerful""]",599.00,New,4.7,5432,22,2022-02-15,"Smart cordless vacuum with iLoop™ dust detection, digital display, and self-adjusting suction power for all floor types.",White,Standard
76,Everlane The Day Market Tote,Accessories,Bags,Everlane,"[""Tote Bag"", ""Leather"", ""Classic"", ""Sustainable""]",180.00,New,4.6,9843,53,2021-03-12,"Italian leather tote bag designed for everyday use. Features unlined interior with drop pocket and clean, minimalist aesthetic.",Cognac,Standard
77,Joanna Gaines Magnolia Table Cookbook,Books,Cooking,Harper Collins,"[""Cookbook"", ""Recipes"", ""Home Cooking"", ""Bestseller""]",29.99,New,4.8,18456,61,2020-08-19,"Collection of 125 classic recipes from Joanna Gaines, reflecting her passion for family, hospitality, and seasonal eating.",NA,Hardcover
78,Fitbit Charge 5 Fitness Tracker,Electronics,Wearables,Fitbit,"[""Fitness Tracker"", ""Health"", ""Sleep Tracking"", ""Waterproof""]",149.95,New,4.6,13254,49,2022-04-11,"Advanced fitness tracker with built-in GPS, stress management tools, heart rate monitoring, and up to 7 days of battery life.",Black/Graphite,One Size
79,Great Jones Holy Sheet Baking Pan,Kitchen,Bakeware,Great Jones,"[""Baking Sheet"", ""Non-stick"", ""Durable"", ""Design""]",35.00,New,4.7,6543,38,2021-08-14,"Ceramic-coated non-stick half sheet pan with reinforced edges to prevent warping. Oven safe up to 450°F.",Blueberry,Half Sheet
80,The Alchemist by Paulo Coelho,Books,Fiction,HarperOne,"[""Fiction"", ""Spiritual"", ""Bestseller"", ""Inspirational""]",12.99,New,4.8,78954,104,2020-05-10,"International bestselling novel about an Andalusian shepherd boy who yearns to travel in search of worldly treasure.",NA,Paperback
81,Supergoop! Unseen Sunscreen SPF 40,Beauty,Skincare,Supergoop!,"[""Sunscreen"", ""SPF"", ""Invisible"", ""Makeup Base""]",36.00,New,4.7,21456,67,2021-02-28,"Totally invisible, weightless, scentless SPF 40 sunscreen with natural finish. Perfect for all skin types and tones.",NA,1.7 oz
82,Anker PowerCore 26800 Portable Charger,Electronics,Power Banks,Anker,"[""Power Bank"", ""Portable"", ""High Capacity"", ""Fast Charging""]",69.99,New,4.8,34567,83,2020-11-14,"High-capacity portable power bank with 26800mAh battery, three USB ports, and fast charging technology.",Black,Standard
83,Brita Premium Filtering Water Bottle,Sports,Hydration,Brita,"[""Water Bottle"", ""Filter"", ""Eco-friendly"", ""BPA-free""]",29.99,New,4.5,8765,59,2021-07-18,"Insulated stainless steel water bottle with built-in filter that reduces chlorine taste and odor. One filter replaces 300 single-use plastic bottles.",Sea Glass,20 oz
84,Sony A80J OLED TV,Electronics,Televisions,Sony,"[""TV"", ""OLED"", ""4K"", ""Smart TV""]",1799.99,New,4.9,3245,11,2022-05-30,"OLED 4K Ultra HD Smart Google TV with cognitive processor XR for lifelike picture quality and immersive sound.",Black,65-inch
85,Casper Original Mattress,Home,Bedroom,Casper,"[""Mattress"", ""Memory Foam"", ""Sleep"", ""Comfort""]",1095.00,New,4.6,14532,17,2021-04-08,"Premium all-foam mattress with perforated breathable foam, zoned support for pressure relief, and balanced feel.",White,Queen
86,Bio-Oil Skincare Oil,Beauty,Skincare,Bio-Oil,"[""Skincare"", ""Oil"", ""Scars"", ""Stretch Marks""]",12.99,New,4.7,45678,92,2020-09-23,"Specialist skincare oil that helps improve the appearance of scars, stretch marks, and uneven skin tone.",NA,2 oz
87,Nalgene Wide Mouth Water Bottle,Sports,Hydration,Nalgene,"[""Water Bottle"", ""Durable"", ""BPA-free"", ""Outdoor""]",14.95,New,4.8,28763,115,2020-06-18,"Virtually indestructible BPA-free water bottle with wide mouth for easy filling and cleaning. Dishwasher safe with measurement markers.",Clear,32 oz
88,Ray-Ban Aviator Classic Sunglasses,Accessories,Eyewear,Ray-Ban,"[""Sunglasses"", ""Aviator"", ""Classic"", ""UVProtection""]",169.00,New,4.7,19875,43,2021-03-15,"Iconic aviator sunglasses with gold metal frame and polarized green lenses. 100% UV protection and comfortable fit.",Gold/Green,58mm
89,Carhartt Acrylic Watch Hat,Accessories,Hats,Carhartt,"[""Beanie"", ""Winter"", ""Outdoor"", ""Workwear""]",19.99,New,4.8,23456,78,2020-10-05,"Stretchable, rib-knit acrylic watch hat with Carhartt label on front. Warm, durable, and versatile for cold weather.",Carhartt Brown,One Size
90,Kiehl's Ultra Facial Cream,Beauty,Skincare,Kiehl's,"[""Moisturizer"", ""Hydrating"", ""Lightweight"", ""Daily""]",32.00,New,4.7,31254,59,2021-01-18,"24-hour hydrating face cream with Glacial Glycoprotein and olive-derived squalane. Lightweight and suitable for all skin types.",NA,1.7 oz
91,Google Nest Learning Thermostat,Electronics,Smart Home,Google,"[""Thermostat"", ""Smart Home"", ""Energy Saving"", ""Programmable""]",249.00,New,4.6,17654,31,2022-02-16,"Smart thermostat that learns your temperature preferences and creates an auto-schedule. Helps save energy and can be controlled remotely.",Stainless Steel,Standard
92,Moleskine Classic Notebook,Office,Stationery,Moleskine,"[""Notebook"", ""Journal"", ""Classic"", ""Premium""]",19.95,New,4.8,24531,87,2020-07-27,"Legendary hardcover notebook with ivory-colored pages, elastic closure, and ribbon bookmark. Perfect for writing, thoughts, and sketches.",Black,Large
93,Waterpik Aquarius Water Flosser,Health,Oral Care,Waterpik,"[""Water Flosser"", ""Dental Care"", ""Electric"", ""Effective""]",69.99,New,4.7,21543,45,2021-11-03,"Advanced water flosser with 10 pressure settings, 7 tips, and 90-second water capacity. Removes up to 99.9% of plaque from treated areas.",White,Standard
94,Manduka PRO Yoga Mat,Sports,Yoga,Manduka,"[""Yoga Mat"", ""Premium"", ""Non-slip"", ""Durable""]",120.00,New,4.8,8754,26,2021-05-17,"High-density cushioning yoga mat with closed-cell surface that prevents moisture absorption. Lifetime guarantee and superior comfort.",Black Sage,6mm
